"","NAICS.id","US_EMP","kings_EMP","kings_e","kings_E","kings_LQ","kings_bi","V8"
"155","4851",49023,NA,NA,0.0004523794707533,NA,NA,NA
"156","4852",17880,NA,NA,0.000164994899069192,NA,NA,NA
"157","4853",74144,NA,NA,0.000684193612784462,NA,NA,NA
"158","4854",210777,NA,NA,0.00194502963317154,NA,NA,NA
"159","4855",31741,NA,NA,0.000292902857458346,NA,NA,NA
"160","4859",61360,NA,NA,0.000566224105530516,NA,NA,NA
"161","4861",6551,NA,NA,6.04519901455412e-05,NA,NA,NA
"162","4862",24202,NA,NA,0.00022333369951189,NA,NA,NA
"163","4869",6211,NA,NA,5.73145032504895e-05,NA,NA,NA
"164","4871",9671,NA,NA,8.92430463589573e-05,NA,NA,NA
"165","4872",12692,NA,NA,0.000117120540211755,NA,NA,NA
"166","4879",2023,NA,NA,1.86680470255579e-05,NA,NA,NA
"167","4881",171076,NA,NA,0.00157867267075845,NA,NA,NA
"168","4882",27718,NA,NA,0.000255779005167778,NA,NA,NA
"169","4883",68396,NA,NA,0.000631151628452822,NA,NA,NA
"170","4884",76183,NA,NA,0.00070300930625214,NA,NA,NA
"171","4885",248260,NA,NA,0.00229091910754573,NA,NA,NA
"172","4889",16752,NA,NA,0.000154585824899726,NA,NA,NA
"173","4921",519845,NA,NA,0.00479707904399464,NA,NA,NA
"174","4922",37350,NA,NA,0.000344662163324067,NA,NA,NA
"175","4931",720451,NA,NA,0.00664825167949097,NA,NA,NA
"176","5111",706102,NA,NA,0.00651584050461715,NA,NA,NA
"177","5112",386945,NA,NA,0.00357069078413471,NA,NA,NA
"178","5121",308740,59.5,0.00390907299126207,0.00284902265875964,1.37207507958674,16.1350261110195,NA
"179","5122",27067,NA,NA,0.000249771640554017,NA,NA,NA
"180","5151",249339,NA,NA,0.0023008760144862,NA,NA,NA
"181","5152",45537,NA,NA,0.000420211002176387,NA,NA,NA
"182","5171",885429,NA,NA,0.0081706525999964,NA,NA,NA
"183","5172",288614,NA,NA,0.00266330189037784,NA,NA,NA
"184","5174",10146,NA,NA,9.36263001093972e-05,NA,NA,NA
"185","5179",66804,NA,NA,0.000616460807461874,NA,NA,NA
"186","5182",393741,NA,NA,0.00363340361042521,NA,NA,NA
"187","5191",128309,NA,NA,0.0011840229588741,NA,NA,NA
"188","5211",19062,NA,NA,0.000175902279980813,NA,NA,NA
"189","5221",2143597,NA,NA,0.0197809043993301,NA,NA,NA
"190","5222",774337,NA,NA,0.00714550644074614,NA,NA,NA
"191","5223",362117,NA,NA,0.00334158041757487,NA,NA,NA
"192","5231",460309,NA,NA,0.00424768663286581,NA,NA,NA
"193","5232",7499.5,NA,NA,6.92046557924724e-05,NA,NA,NA
"194","5239",1e+05,NA,NA,0.000922790263250515,NA,NA,NA
"195","5241",1497402,NA,NA,0.0138178798577185,NA,NA,NA
"196","5242",926081,NA,NA,0.008545785297813,NA,NA,NA
"197","5311",541676,171,0.01123447868077,0.00499853338636486,2.24755499511431,94.9173233261405,NA
"198","5312",355215,28,0.00183956376059392,0.00327788943360532,0.561203725096548,-21.8927550689065,NA
"199","5313",632085,52,0.00341633269824584,0.00583281883546702,0.585708693277512,-36.7813354946435,NA
"200","5321",190260,NA,NA,0.00175570075486043,NA,NA,NA
"201","5322",248464,69,0.00453321069574929,0.00229280159968276,1.97714913334696,34.1012668512287,NA
"202","5323",29810,NA,NA,0.000275083777474979,NA,NA,NA
"203","5324",161590,NA,NA,0.00149113678638651,NA,NA,NA
"204","5331",29379,NA,NA,0.000271106551440369,NA,NA,NA
"205","5411",1203763,174.5,0.0114644241508442,0.0111082077566123,1.03206785487244,5.42196973660426,NA
"206","5412",1375685,197,0.0129426450298929,0.0126946872329978,1.01953240693087,3.77416562653978,NA
"207","5413",1432209,91,0.00597858222193023,0.0132162852013976,0.452364800760959,-110.165077050472,NA
"208","5414",122764,NA,NA,0.00113285423877686,NA,NA,NA
"209","5415",1252197,NA,NA,0.0115551519927151,NA,NA,NA
"210","5416",770340,NA,NA,0.00710862251392402,NA,NA,NA
"211","5417",690097,NA,NA,0.00636814792298391,NA,NA,NA
"212","5418",447797,NA,NA,0.00413222711512791,NA,NA,NA
"213","5419",575562,59.5,0.00390907299126207,0.00531123009496993,0.736001438718351,-21.3422332755373,NA
"214","5511",2664203,NA,NA,0.0245850058772281,NA,NA,NA
"215","5611",369211,NA,NA,0.00340704315884986,NA,NA,NA
"216","5612",265262,NA,NA,0.00244781190810358,NA,NA,NA
"217","5613",5305054,NA,NA,0.048954521772182,NA,NA,NA
"218","5614",826476,65,0.00427041587280731,0.00762664005610233,0.559934104847443,-51.0850882939335,NA
"219","5615",258329,NA,NA,0.00238383485915242,NA,NA,NA
"220","5616",788766,NA,NA,0.00727865584783056,NA,NA,NA
"221","5617",1723943,152,0.00998620327179555,0.0159083781479888,0.627732329398898,-90.1414237905379,NA
"222","5619",327709,NA,NA,0.00302406674379563,NA,NA,NA
"223","5621",195638,NA,NA,0.00180532841521804,NA,NA,NA
"224","5622",63558,59.5,0.00390907299126207,0.000586507035516762,6.66500613725434,50.5727764123994,NA
"225","5629",127009,59.5,0.00390907299126207,0.00117202668545185,3.33531056910622,41.6605818207374,NA
"226","6114",64987,NA,NA,0.000599693708378612,NA,NA,NA
"227","6115",105520,48,0.00315353787530386,0.000973728285781943,3.23862202767524,33.178881762113,NA
"228","6116",304151,59.5,0.00390907299126207,0.00280667581357907,1.39277681175341,16.7795874415129,NA
"229","6117",65293,NA,NA,0.000602517446584159,NA,NA,NA
"230","6211",2109762,477,0.0313382826358321,0.0194686783137593,1.60967694523382,180.667247386269,NA
"231","6212",825447,292,0.0191840220747651,0.00761714454429348,2.51853197260608,176.059442891309,NA
"232","6213",614836,174.5,0.0114644241508442,0.00567364674295894,2.02064468766437,88.141422925422,NA
"233","6214",655149,296,0.0194468168977071,0.00604565118178312,3.21666207873598,203.979143362079,NA
"234","6215",241003,NA,NA,0.00222395221814164,NA,NA,NA
"235","6216",984164,NA,NA,0.0090817695664168,NA,NA,NA
"236","6219",273080,NA,NA,0.00251995565088451,NA,NA,NA
"237","6221",5077619,NA,NA,0.0468557737369582,NA,NA,NA
"238","6222",217513,NA,NA,0.00200718878530409,NA,NA,NA
"239","6223",233711,NA,NA,0.00215666235214541,NA,NA,NA
"240","6231",1591190,NA,NA,0.0146833463898159,NA,NA,NA
"241","6232",594679,NA,NA,0.00548763990959553,NA,NA,NA
"242","6233",732560,NA,NA,0.00675999235246797,NA,NA,NA
"243","6239",152264,NA,NA,0.00140507736643576,NA,NA,NA
"244","6241",1166042,749.5,0.049241179948755,0.0107601220414116,4.57626593446103,585.720182407674,NA
"245","6242",164216,NA,NA,0.00151536925869947,NA,NA,NA
"246","6243",303713,NA,NA,0.00280263399222604,NA,NA,NA
"247","6244",855126,NA,NA,0.0078910194665236,NA,NA,NA
"248","7111",127648,NA,NA,0.00117792331523402,NA,NA,NA
"249","7112",121461,NA,NA,0.00112083028164671,NA,NA,NA
"250","7113",121395,NA,NA,0.00112022124007296,NA,NA,NA
"251","7114",18676,NA,NA,0.000172340309564666,NA,NA,NA
"252","7115",48321,NA,NA,0.000445901483105281,NA,NA,NA
"253","7121",130071,NA,NA,0.00120028252331258,NA,NA,NA
"254","7131",133993,NA,NA,0.00123647435743726,NA,NA,NA
"255","7132",169640,374.5,0.0246041652979436,0.00156542140257817,15.7172792306415,350.672720831358,NA
"256","7139",1190143,174.5,0.0114644241508442,0.0109825237227576,1.04387884244566,7.33500641590692,NA
"257","7211",1919638,1749.5,0.114939885684252,0.0177142325536569,6.48856140598221,1479.87166630079,NA
"258","7212",39939,NA,NA,0.000368553203239623,NA,NA,NA
"259","7213",11084,NA,NA,0.000102282072778687,NA,NA,NA
"260","7221",4603747,NA,NA,0.0424829290606877,NA,NA,NA
"261","7222",4082091,1777,0.116746600091978,0.0376691382850256,3.09926389100299,1203.63804616363,NA
"262","7223",588058,NA,NA,0.00542654196626571,NA,NA,NA
"263","7224",356194,NA,NA,0.00328692355028254,NA,NA,NA
